,SystemNo,SystemDescription,SubSystemNo,SubSystemDescription,TagNo,TagDescription,Checksheet Type,CompleteDate,PlanStart,PlanFinish,Norm,Location
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-X-XJB050102-02,SDS Cable,I01-A,10-Sep-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-16,WELL SLOT 04 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0108-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-57,WELL SLOT 12 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XA-0501-02A-04,PM-0501-02A TRIP ALARM,I10-B,17-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-LCP-0501-01,Control Panel,E30-A,10-Sep-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PDIT-0501-01,DIFF. PRESSURE ON FILTER STRAINERS - DOWNSTREAM HP PUMPS,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0109-04,Hydraulic Tubing,I05-A,15-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead control panel,HOF-AQ-WH0117,Tubing Hot Oil Flushing for WH0117,P07-A,1-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0110-04,Hydraulic Tubing,I05-A,15-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0102-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-52,WELL SLOT 11 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-11,WELL SLOT 03 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead control panel,HOF-AQ-WH0103,Tubing Hot Oil Flushing for WH0103,P07-A,1-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0114-04,Hydraulic Tubing,I05-A,15-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-06,WELL SLOT 02 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0118-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0105-02,Hydraulic Tubing,I05-A,10-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-18,WELL SLOT 04 SCSSV,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-37,WELL SLOT 08 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead control panel,HOF-AQ-WH0111,Tubing Hot Oil Flushing for WH0111,P07-A,1-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0218-S,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0107-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-80,MP HYDRAULIC HEADER PRESSURE (SSV / SDV HYDRAULIC SYSTEM),I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0108-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0104-04,Hydraulic Tubing,I05-A,15-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0108-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0119-04,Hydraulic Tubing,I05-A,15-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-91,WELL SLOT 19 SCSSV OPEN / CLOSE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-72,WELL SLOT 15 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0109-04,Hydraulic Tubing,I05-A,15-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SCSSV0104-01,Hydraulic Tubing,I05-A,13-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0215-R,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-56,WELL SLOT 12 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0103-04,Hydraulic Tubing,I05-A,15-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-01,WELL SLOT 01 SCSSV OPEN / CLOSE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-85,CLOSE ALL MASTER VALVES SSV-0101 TO SSV-0120,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-P-0501-02B,MP Hydraulic Pump B,M03-B,20-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0103-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-X-XJB050101-04,SDS Cable,I01-A,6-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-HS-0501-02B-01,PM-0501-02B LCP LOCAL/ REMOTE SWITCH,I10-B,17-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-42,WELL SLOT 09 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-P-0501-01C,HP Hydraulic Pump C,M03-B,20-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-81,WELL SLOT 17 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-80,CLOSE ALL WING VALVES SDV-0101 TO SDV-0120,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0110-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-HS-0501-01B-01,PM-0501-01B LCP LOCAL/ REMOTE SWITCH,I10-B,17-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-41,WELL SLOT 09 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XA-0501-01B-04,PM-0501-01B TRIP ALARM,I10-B,17-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-90,HP HYDRAULIC HEADER PRESSURE (SCSSV HYDRAULIC SYSTEM),I10-B,12-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-91,WELL SLOT 19 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0213-S,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-P-0501-01A,HP Hydraulic Pump A,M03-B,20-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-28,WELL SLOT 06 SCSSV,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-41,WELL SLOT 09 SCSSV OPEN / CLOSE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0112-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0113-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0205-S,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-55,OFFLINE MODULE MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-11,WELL SLOT 03 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-85,HP HYDRAULIC HEADER PRESSURE (SCSSV HYDRAULIC SYSTEM),I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-26,WELL SLOT 06 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0114-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-46,WELL SLOT 10 SCSSV OPEN / CLOSE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XJB-050101,Junction Box,I30-A,10-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0108-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead control panel,HOF-AQ-WH0108,Tubing Hot Oil Flushing for WH0108,P07-A,1-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0209-R,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-32,WELL SLOT 07 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0116-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0107-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0109-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0208-S,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-71,WELL SLOT 15 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-51,WELL SLOT 11 SCSSV OPEN / CLOSE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-LCP-0501-02,Recirculation Pump Control Panel,E12-B,4-Sep-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead control panel,HOF-AQ-WH0107,Tubing Hot Oil Flushing for WH0107,P07-A,1-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-PK0501-R,Hydraulic Tubing,I05-A,21-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XY-0501-01B-01,PM-0501-01B TRIP COMMAND,I10-B,17-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0114-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-36,WELL SLOT 08 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,TP-AQ-0501-AV-01-V,Hydro Test Pack for Sub-system 05-01,P01-A,20-Jul-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0208-R,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0106-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-02,WELL SLOT 01 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-26,WELL SLOT 06 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0115-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-L-LCP050101-01,Low Voltage cable,E01-A,6-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0114-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0218-R,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-76,WELL SLOT 16 SCSSV OPEN / CLOSE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead control panel,HOF-AQ-WH0120,Tubing Hot Oil Flushing for WH0120,P07-A,1-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-HS-0501-01A-01,PM-0501-01A LCP LOCAL/ REMOTE SWITCH,I10-B,17-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-96,WELL SLOT 20 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead control panel,HOF-AQ-WH0114,Tubing Hot Oil Flushing for WH0114,P07-A,1-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,TP-AQ-0501-AV-02-V,Hydro Test Pack for Sub-system 05-01,P01-A,19-Jul-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-51,WELL SLOT 11 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0110-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-X-XJB050101-01,SDS Cable,I01-A,6-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead control panel,HOF-AQ-WH0105,Tubing Hot Oil Flushing for WH0105,P07-A,1-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XA-0501-02B-04,PM-0501-02B TRIP ALARM,I10-B,17-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0211-R,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-LIT-0501-01,HYDRAULIC OIL RESERVOIR LEVEL,I10-B,12-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-51,WELL SLOT 11 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XA-0501-02B-03,PM-0501-01A HP PMP FLT/HEALTHY,I10-B,20-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0105-04,Hydraulic Tubing,I05-A,15-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-X-XJB050101-02,SDS Cable,I01-A,6-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PDIT-0501-02,DIFF. PRESSURE ON FILTER STRAINERS - DOWNSTREAM MP PUMPS,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-68,WELL SLOT 14 SCSSV,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PM-0501-02A,Motor,E03-B,20-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-91,WELL SLOT 19 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-71,WELL SLOT 15 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0210-R,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0211-S,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-IJB-050101,Junction Box,I30-A,10-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0114-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-77,WELL SLOT 16 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PB-0501-61,WELL SLOT 13 SCSSV OPEN PUSH BUTTON,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-86,WELL SLOT 18 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-17,WELL SLOT 04 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XS-0501-01B-01,PM-0501-01B START COMMAND,I10-B,17-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XJB-050102,Junction Box,I30-A,10-Sep-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SCSSV0105-01,Hydraulic Tubing,I05-A,13-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-58,WELL SLOT 12 SCSSV,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XY-0501-01A-01,PM-0501-01A TRIP COMMAND,I10-B,20-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0113-04,Hydraulic Tubing,I05-A,15-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-87,WELL SLOT 18 MASTER VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-66,WELL SLOT 14 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0207-R,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0101-04,Hydraulic Tubing,I05-A,15-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0112-02,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0103-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0209-S,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SDV0105-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,TP-AQ-0501-AV-01-V,Hydro Test Pack for Sub-system 05-01,P02-A,20-Jul-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-XSV-0501-81,WELL SLOT 17 WING VALVE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-I-IJB050101-02,PCS Cable,I01-A,10-Sep-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-PIT-0501-21,WELL SLOT 05 SCSSV OPEN / CLOSE,I10-B,9-Aug-25,15-Aug-25,25-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-SSV0120-01,Hydraulic Tubing,I05-A,10-Aug-25,13-Aug-25,23-Aug-25,,Onshore
,AQAT-05,Well Control,AQAT-05-01,Wellhead Control Panel,AQAT-T-CVA0220-S,Hydraulic Tubing,I05-A,22-Aug-25,5-Aug-25,12-Aug-25,,Onshore
